# Exported from Du Chinese
Simplified,Traditional,Pinyin,Meaning,Simplified sentence,Traditional sentence,Sentence pinyin,Sentence translation
故意,故意,gù yì,"deliberately
on purpose",故意用春草的名字写信给警察李河？,故意用春草的名字寫信給警察李河？,gù yì yòng chūn cǎo de míng zi xiě xìn gěi jǐng chá lǐ hé ？,".. he purposely wrote letters to Li He, the police officer, under Chun Cao’s name?"
结果,結果,jié guǒ,"outcome
result
conclusion",虽然现在已经知道结果了，但李河还有两个问题想不明白。,雖然現在已經知道結果了，但李河還有兩個問題想不明白。,suī rán xiàn zài yǐ jīng zhī dào jié guǒ le ， dàn lǐ hé hái yǒu liǎng ge wèn tí xiǎng bù míng bai 。,"Although he knew the outcome, Li He still could not figure out two things."
陪,陪,péi,to accompany,李河没有说话，他坐在高静旁边，安静地陪着她。,李河沒有說話，他坐在高靜旁邊，安靜地陪著她。,lǐ hé méi yǒu shuō huà ， tā zuò zài gāo jìng páng biān ， ān jìng de péi zhe tā 。,"Li He did not say anything. He sat next to Gao Jing, quietly keeping her company."
起来,起來,qǐ lái,"(after a verb, indicating the beginning and continuation of an action or a state)",高静好像没有听懂，等了很久，她才明白过来，然后大声哭起来。,高靜好像沒有聽懂，等了很久，她才明白過來，然後大聲哭起來。,gāo jìng hǎo xiàng méi yǒu tīng dǒng ， děng le hěn jiǔ ， tā cái míng bai guò lái ， rán hòu dà shēng kū qǐ lái 。,"It seemed as if Gao Jing did not understand. After a long time, she finally understood and began to cry loudly."
跑步,跑步,pǎo bù,"to run
to jog",第二天，那边跑步的人发现了他。”,第二天，那邊跑步的人發現了他。”,dì èr tiān ， nà bian pǎo bù de rén fā xiàn le tā 。”,"The next day, he was found by someone out running.”"
恨,恨,hèn,"to hate
to regret",他在家里的天花板上看你，心里又爱又恨，你害怕的样子一定让他觉得很高兴。,他在家裡的天花板上看你，心裡又愛又恨，你害怕的樣子一定讓他覺得很高興。,tā zài jiā lǐ de tiān huā bǎn shang kàn nǐ ， xīn li yòu ài yòu hèn ， nǐ hài pà de yàng zi yí dìng ràng tā jué de hěn gāo xìng 。,"He was watching you from the ceiling of your house, out of both love and hate. He was very happy to see you scared."
练习,練習,liàn xí,"to practice
exercise
drill",这是有人在上面练习过写字，应该是想学习春草是怎么写字的。,這是有人在上面練習過寫字，應該是想學習春草是怎樣寫字的。,zhè shì yǒu rén zài shàng miàn liàn xí guò xiě zì ， yīng gāi shì xiǎng xué xí chūn cǎo shì zěn me xiě zì de 。,"Someone had practiced their writing here, most likely because they wanted to learn to write like Chun Cao."
旧,舊,jiù,"old
worn (with age)",书很旧，谢小山应该看过很多遍。,書很舊，謝小山應該看過很多遍。,shū hěn jiù ， xiè xiǎo shān yīng gāi kàn guò hěn duō biàn 。,The book was very old. Xie Xiaoshan must have read it many times.
关系,關係,guān xi,"relation
relationship
guanxi",他对张一南和高静的关系还很不高兴。,他對張一南和高靜的關係還很不高興。,tā duì zhāng yī nán hé gāo jìng de guān xi hái hěn bù gāo xìng 。,.. he was also very upset about Zhang Yinan and Gao Jing’s relationship.
钥匙,鑰匙,yào shi,key,书桌上有电脑，抽屉外面没有钥匙，打不开。,書桌上有電腦，抽屜外面沒有鑰匙，打不開。,shū zhuō shang yǒu diàn nǎo ， chōu ti wài miàn méi yǒu yào shi ， dá bù kāi 。,"There was a computer on the desk. There were no keys outside the drawer, so the drawer could not be opened."
太阳,太陽,tài yáng,sun,第二天早上，太阳还没有出来，李河已经站在高静家门口了。,第二天早上，太陽還沒有出來，李河已經站在高靜家門口了。,dì èr tiān zǎo shang ， tài yáng hái méi yǒu chū lái ， lǐ hé yǐ jīng zhàn zài gāo jìng jiā mén kǒu le 。,"The next day, the sun had not come up yet,  and Li He was already standing in front of Gao Jing’s house."
办公室,辦公室,bàn gōng shì,office,到了警察局，李河进了办公室，从桌子里面拿出那个在高静家天花板上发现的笔帽，,到了警察局，李河進了辦公室，從桌子裡面拿出那個在高靜家天花板上發現的筆帽，,dào le jǐng chá jú ， lǐ hé jìn le bàn gōng shì ， cóng zhuō zi lǐ miàn ná chū nà ge zài gāo jìng jiā tiān huā bǎn shang fā xiàn de bǐ mào ，,"After arriving at the police station, Li He entered the office and took out the pen cap he found in the ceiling of Gao Jing’s house."
可惜,可惜,kě xī,"unfortunate
it is a pity",我觉得太可惜了，就请他把笔送给了我。这个红色的笔帽是我自己的，虽然不好看，但能用。,我覺得太可惜了，就請他把筆送給了我。這個紅色的筆帽是我自己的，雖然不好看，但能用。,wǒ jué de tài kě xī le ， jiù qǐng tā bǎ bǐ sòng gěi le wǒ 。 zhè ge hóng sè de bǐ mào shì wǒ zì jǐ de ， suī rán bù hǎo kàn ， dàn néng yòng 。,"I thought it was a waste, so I asked him to give me the pen. The red pen cap is mine. It’s not pretty, but it works."
差,差,chà,"wrong
inferior
terrible",笔身和笔帽的材质不一样，笔身的质量很好，笔帽的质量很差。,筆身和筆帽的材質不一樣，筆身的質量很好，筆帽的質量很差。,bǐ shēn hé bǐ mào de cái zhì bù yí yàng ， bǐ shēn de zhì liàng hěn hǎo ， bǐ mào de zhì liàng hěn chà 。,"The pen body and the pen cap were of different quality. The pen body was of very high quality, and the pen cap was of very poor quality."
质量,質量,zhì liàng,quality,笔身和笔帽的材质不一样，笔身的质量很好，笔帽的质量很差。,筆身和筆帽的材質不一樣，筆身的質量很好，筆帽的質量很差。,bǐ shēn hé bǐ mào de cái zhì bù yí yàng ， bǐ shēn de zhì liàng hěn hǎo ， bǐ mào de zhì liàng hěn chà 。,"The pen body and the pen cap were of different quality. The pen body was of very high quality, and the pen cap was of very poor quality."
晚安,晚安,wǎn ān,"Good night!
Good evening!",“这是我的电话号码，以后您需要用车的时候，请给我打电话。祝您晚安。”,“這是我的電話號碼，以後您需要用車的時候，請給我打電話。祝您晚安。”,“ zhè shì wǒ de diàn huà hào mǎ ， yǐ hòu nín xū yào yòng chē de shí hou ， qǐng gěi wǒ dǎ diàn huà 。 zhù nín wǎn ān 。”,"“This is my phone number. If you need a ride in the future, please call me. Have a good night.”"
号码,號碼,hào mǎ,number,“这是我的电话号码，以后您需要用车的时候，请给我打电话。祝您晚安。”,“這是我的電話號碼，以後您需要用車的時候，請給我打電話。祝您晚安。”,“ zhè shì wǒ de diàn huà hào mǎ ， yǐ hòu nín xū yào yòng chē de shí hou ， qǐng gěi wǒ dǎ diàn huà 。 zhù nín wǎn ān 。”,"“This is my phone number. If you need a ride in the future, please call me. Have a good night.”"
数字,數字,shù zì,"digit
number",司机拿起放在李河面前的一支笔，在纸上写了几个数字，然后交给李河：,司機拿起放在李河面前的一支筆，在紙上寫了幾個數字，然後交給李河：,sī jī ná qǐ fàng zài lǐ hé miàn qián de yì zhī bǐ ， zài zhǐ shang xiě le jǐ ge shù zì ， rán hòu jiāo gěi lǐ hé ：,".. the driver picked up a pen that was in front of Li He, wrote some numbers on a piece of paper, and gave it to Li He:"
拿起,拿起,ná qǐ,to pick up,司机拿起放在李河面前的一支笔，在纸上写了几个数字，然后交给李河：,司機拿起放在李河面前的一支筆，在紙上寫了幾個數字，然後交給李河：,sī jī ná qǐ fàng zài lǐ hé miàn qián de yì zhī bǐ ， zài zhǐ shang xiě le jǐ ge shù zì ， rán hòu jiāo gěi lǐ hé ：,".. the driver picked up a pen that was in front of Li He, wrote some numbers on a piece of paper, and gave it to Li He:"
安静,安靜,ān jìng,"quiet
calm
peaceful",出租车的司机是个年轻人，很喜欢说话。李河有点儿累，安静地听他说话。,出租車的司機是個年輕人，很喜歡說話。李河有點兒累，安靜地聽他說話。,chū zū chē de sī jī shì ge nián qīng rén ， hěn xǐ huan shuō huà 。 lǐ hé yǒu diǎn'r lèi ， ān jìng de tīng tā shuō huà 。,The taxi driver was a talkative young man. Li He was a little tired and quietly listened to him speak.
怀疑,懷疑,huái yí,"to doubt
to suspect
skeptical",李河有点儿怀疑小九看到的春草不是真的春草，但他没有说，,李河有點兒懷疑小九看到的春草不是真的春草，但他沒有說，,lǐ hé yǒu diǎn'r huái yí xiǎo jiǔ kàn dào de chūn cǎo bú shì zhēn de chūn cǎo ， dàn tā méi yǒu shuō ，,"Li He suspected that the Chun Cao that Xiaojiu saw was not the real Chun Cao, but he did not say anything."
印象,印象,yìn xiàng,"impression
memory (a recollection)",春草给我的印象就是个普通人，还是个声音很小、没有力气和不爱说话的普通人，,春草給我的印象就是個普通人，還是個聲音很小、沒有力氣和不愛說話的普通人，,chūn cǎo gěi wǒ de yìn xiàng jiù shì ge pǔ tōng rén ， hái shi ge shēng yīn hěn xiǎo 、 méi yǒu lì qi hé bú ài shuō huà de pǔ tōng rén ，,"The impression that Chun Cao gave me is of an ordinary person who speaks quietly, lacks energy, and is not talkative."
着急,著急,zháo jí,"to worry
to feel anxious",大家都很着急，但是一点儿办法也没有，张一南去哪儿了？,大家都很著急，但是一點兒辦法也沒有，張一南去哪兒了？,dà jiā dōu hěn zháo jí ， dàn shì yì diǎn'r bàn fǎ yě méi yǒu ， zhāng yī nán qù nǎ'r le ？,"Everyone was very worried, but no one had any ideas about what to do. Where did Zhang Yinan go?"
普通,普通,pǔ tōng,"common
ordinary",第22章、普通人,第22章、普通人,dì 22 zhāng 、 pǔ tōng rén,Chapter 22: An Ordinary Person
轻轻,輕輕,qīng qīng,"lightly
softly",她放开李河，眼睛里好像有很多话，但是她一句也没有说。后来，她轻轻地笑了一下。,她放開李河，眼睛裡好像有很多話，但是她一句也沒有說。後來，她輕輕地笑了一下。,tā fàng kāi lǐ hé ， yǎn jing lǐ hǎo xiàng yǒu hěn duō huà ， dàn shì tā yí jù yě méi yǒu shuō 。 hòu lái ， tā qīng qīng de xiào le yí xià 。,"She let go of Li He. Her eyes seemed to have a lot to say, yet she did not say a word. Then she smiled softly."
窗户,窗戶,chuāng hu,window,突然抱住李河，害怕地说：“昨天晚上，好像有人在窗户外面看我，,突然抱住李河，害怕地說：“昨天晚上，好像有人在窗戶外面看我，,tū rán bào zhù lǐ hé ， hài pà de shuō ： “ zuó tiān wǎn shang ， hǎo xiàng yǒu rén zài chuāng hu wài miàn kàn wǒ ，,"She suddenly hugged Li He and said in fear, “Last night, there seemed to be someone watching me through the window."
难看,難看,nán kàn,"ugly
unsightly",可怜的谢小山，他什么都不知道，就这样死了，还死得这么难看。,可憐的謝小山，他什麼都不知道，就這樣死了，還死得這麼難看。,kě lián de xiè xiǎo shān ， tā shén me dōu bù zhī dào ， jiù zhè yàng sǐ le ， hái sǐ de zhè me nán kàn 。,"Poor Xie Xiaoshan, he knew nothing. He died just like that. He died an ugly death."
可怜,可憐,kě lián,"pitiful
pathetic",可怜的谢小山，他什么都不知道，就这样死了，还死得这么难看。,可憐的謝小山，他什麼都不知道，就這樣死了，還死得這麼難看。,kě lián de xiè xiǎo shān ， tā shén me dōu bù zhī dào ， jiù zhè yàng sǐ le ， hái sǐ de zhè me nán kàn 。,"Poor Xie Xiaoshan, he knew nothing. He died just like that. He died an ugly death."
发生,發生,fā shēng,"to happen
to occur
to take place",李河看着河水，猜想昨天晚上在这儿发生的事：,李河看著河水，猜想昨天晚上在這兒發生的事：,lǐ hé kàn zhe hé shuǐ ， cāi xiǎng zuó tiān wǎn shang zài zhè‘r fā shēng de shì ：,Li He was gazing at the water in the river and picturing in his head what had happened the previous night:
提前,提前,tí qián,"to shift to an earlier date
to do sth ahead of time
in advance",但是他太恨高静了，不想再等了，所以提前杀人了。,但是他太恨高靜了，不想再等了，所以提前殺人了。,dàn shì tā tài hèn gāo jìng le ， bù xiǎng zài děng le ， suǒ yǐ tí qián shā rén le 。,"But he hated Gao Jing so much that he did not want to wait any longer, so he killed him sooner."
